207428,195479,221583,215000
207628,195571,221585,215085
207736,195625,221625,215166
208000,195666,221704,215281
208051,195696,221733,215321
208230,195753,222076,215333
208278,195785,222333,215431
208363,195875,222428,215500
208416,196294,222750,215615
208607,196456,222821,215750
208760,196571,222833,215928
208853,196696,222961,216121
208966,196752,223000,216368
209000,196758,223183,216719
209111,196888,223245,216800
209500,197000,223400,217200
209857,197142,223547,217306
209891,197207,223600,217787
210259,197235,223608,217883
210373,197333,223772,217941
210523,197375,223789,218100
210666,197376,223800,218111
210857,197562,223820,218117
210900,197707,224047,218200
211029,197800,224050,218250
211043,197818,224133,218357
211142,197888,224200,218500
211363,197897,224636,218521
211444,198000,225086,218600
211666,198000,225266,218736
211769,198000,225688,218924
211944,198058,225750,219090
211945,198161,225777,219379
212000,198611,225841,219500
212254,198773,225857,219682
212258,198925,225875,219941
212500,199083,226181,219954
212571,199100,226230,220340
212593,199139,226440,221114
212602,199222,226500,221122
212625,199227,226558,221131
212636,199518,226750,221133
212926,199600,226781,221190
213054,199709,227000,221210
213147,199783,227062,221243
213400,199920,227142,221257
213437,200166,227238,221354
213545,200307,227500,221400
213666,200416,227750,221600
213933,200500,227950,221628
214018,200769,228285,221717
214312,200882,228500,221761
214461,200900,228571,221800
214509,201166,228952,221800
214615,201200,228960,221833
214750,201207,229071,221965
214857,201358,229421,222217
215288,201608,229521,222285
215304,201625,229727,222333
215648,201740,229947,222600
215833,201800,230066,223000
215897,201833,230233,223075
216000,202000,230250,223333
216064,202150,230282,223425
216117,202157,230333,223500
216136,202300,230514,223600
216142,202368,230611,223916
216327,202518,230773,224285
216411,202909,230928,224363
216526,202933,230966,224375
216529,203000,231105,224428
216571,203229,231175,224444
216673,203375,231466,224480
216906,203800,231575,224575
217000,203983,231960,224669
217125,204000,231986,224925
217142,204051,232000,225100
217230,204219,232153,225240
217657,204375,232253,225428
217747,204526,232256,225932
217777,204600,232333,225933
217833,205000,232456,226000
217854,205128,232828,226184
217958,205200,233100,226230
218235,205219,233600,226884
218347,205281,233666,226939
218368,205363,233750,227125
218703,205379,233789,227222
218744,205428,233800,227428
218833,205760,233857,227450
219142,205833,234000,227531
219208,206000,234277,227560
219500,206037,234473,227571
219515,206176,234500,227666
219571,206200,234518,227692
219600,206265,234576,227875
219625,206625,234666,227956
219638,206636,234666,228000
219666,206696,234826,228080
219687,207026,235000,228158
219702,207431,235074,228450
219750,207466,235113,228500
219791,207517,235142,228727
219910,207566,235294,228966
219937,207666,235375,229044
219956,207666,235400,229407
220000,207717,235636,229571
220052,207777,236000,230100
220062,208076,236035,230314
220156,208093,236145,230582
220166,208093,236303,230980
220434,208333,236422,231000
220470,208394,236622,231101
220500,208687,236793,231301
220582,208695,236945,231714
220600,208888,237062,231750
220692,208939,237200,231808
221000,208964,237400,231857
221200,209000,237500,232187
221204,209009,237600,232214
221272,209136,237600,232250
221462,209270,238352,232555
221520,209410,238391,232659
221625,209500,238454,233111
221666,209645,238507,233157
221885,209833,238625,233285
221888,209857,238875,233409
221903,209882,239000,233533
221916,209957,239117,234200
221963,210300,239270,234375
222200,210533,239451,234782
222400,210628,239780,234896
222450,210653,239909,234916
222603,210750,239909,234962
222727,210763,240000,235071
222729,210800,240000,235117
222769,210828,240400,235217
222777,210857,240444,235235
222800,210909,240476,235347
222862,210938,240481,235372
223000,210958,240714,235388
223054,211000,240714,235388
223386,211257,240739,235833
223500,211281,240875,236571
224062,211333,240936,236684
224428,211400,241000,236777
224496,211600,241125,237200
224750,211606,241142,237217
224750,211625,241142,237250
224800,211643,241207,237277
225297,211666,241741,237444
225375,211872,241800,238000
225500,212062,241976,238352
225666,212128,242000,238400
225800,212169,242081,238437
225807,212388,242120,238476
226111,212400,242444,238562
226166,212600,242555,238681
226571,212833,242571,238707
226708,212833,242777,238714
226758,212941,242821,238750
226842,213130,242894,238800
226861,213214,243086,239372
226926,213222,243090,239784
227066,213465,243138,239800
227102,213687,243500,240333
227105,213714,243509,240428
227142,213875,243833,240489
227214,214125,244000,240562
227280,214186,244062,240846
227395,214187,244133,240882
227400,214971,244222,240915
227660,214973,244235,240974
227714,215000,244385,241000
227833,215105,244480,241000
227833,215368,244529,241066
228100,215406,244595,241085
228539,215450,244700,241121
228782,215583,245068,241555
228925,215709,245250,241649
229153,215743,245333,241827
229203,215750,245545,242115
229285,216166,245583,242200
229333,216222,245583,242225
229846,216348,246000,242272
230000,216555,246000,242296
230196,216611,246047,242333
230315,216653,246166,242565
230413,216750,246400,242750
230500,216800,246405,242782
230591,216916,246435,242976
230628,216941,246454,243090
231000,217000,246560,243369
231250,217263,246666,243400
231555,217428,247125,243600
231600,217483,247285,243600
231695,217629,247307,243600
231833,217857,247333,243641
232100,217913,247687,243833
232200,217990,247729,243916
232285,218000,247884,244371
232312,218000,248153,244375
232382,218250,248250,244375
232400,218303,248250,244404
232500,218392,248400,244470
233178,218432,248400,244564
233259,218492,248450,244583
233750,218548,248583,244714
234384,218645,248698,244718
234733,218793,248894,244736
234736,218800,249722,244870
235083,219500,249838,244900
