124012,170200,92731,138666,159870
124138,170300,92875,138675,160235
124153,170384,92984,138750,160244
124154,170410,93166,138800,160400
124180,170446,93200,138884,160586
124200,170481,93200,139022,160600
124222,170764,93214,139147,160650
124382,170888,93222,139176,160672
124517,171000,93461,139294,160745
124588,171000,93609,139400,160800
124611,171000,93653,139463,160815
124617,171142,93700,139500,160857
124625,171147,93736,139520,160962
124864,171166,93941,139562,160985
124964,171272,94128,139656,161083
124982,171276,94333,139684,161111
125000,171300,94441,139691,161200
125050,171333,94538,139709,161227
125178,171531,94571,139757,161428
125729,171565,94595,139772,161590
125865,171666,94714,139824,161597
125972,171714,94750,139852,161850
126045,171928,94888,139884,161880
126062,171964,95000,139914,162019
126125,172000,95000,140087,162142
126153,172031,95142,140105,162185
126200,172322,95172,140129,162260
126224,172333,95200,140147,162294
126480,172400,95333,140161,162343
126541,172606,95363,140166,162347
126601,172647,95625,140174,162428
126666,172700,95625,140200,162448
127066,172714,95705,140225,162470
127076,172714,96000,140285,162545
127083,172833,96000,140318,162615
127095,173125,96195,140375,162656
127126,173142,96294,140448,162685
127160,173272,96333,140456,163040
127230,173352,96368,140483,163166
127457,173500,96375,140489,163250
127603,173700,96444,140529,163428
127727,173714,96480,140583,163588
127798,173843,96571,140641,163800
128034,173857,96666,140833,163808
128060,173900,96750,141055,163815
128200,174000,96750,141166,163888
128208,174000,96833,141193,164000
128312,174478,96916,141333,164063
128373,174666,97090,141500,164388
128461,175000,97137,141666,164400
128700,175083,97177,141700,164767
128823,175411,97341,141750,164920
128965,175700,97519,141823,165000
129051,175777,97775,141984,165025
129090,175800,97777,142425,165083
129285,175807,98000,142462,165093
129413,175909,98120,142571,165142
129428,176000,98200,142600,165333
129434,176000,98250,142614,165508
129458,176083,98258,142625,165562
129471,176600,98304,142790,165571
129547,176631,98340,142826,165600
129571,176944,98666,142875,165633
129623,176962,98800,142880,165875
129666,177153,98818,142884,165933
129793,177250,98833,142916,166000
129855,177500,99000,142935,166142
130000,177625,99157,143100,166154
130250,177750,99230,143111,166275
130625,177842,99307,143125,166307
130719,177857,99400,143181,166333
130833,177875,99428,143239,166491
130916,178000,99500,143400,166500
130937,178000,99633,143444,166571
131188,178076,99681,143530,166578
131263,178278,99714,143538,166583
131444,178857,99823,143610,166644
131706,178875,99826,143766,166666
131800,178884,99875,143789,166727
131822,179444,99923,143820,166750
131882,179714,100000,143827,166755
131923,179731,100022,143833,166769
131989,179833,100066,144000,166800
132068,180222,100181,144022,166800
132090,180428,100448,144055,166913
132247,180444,100500,144062,167045
132361,180500,100533,144075,167063
132363,180540,100637,144125,167093
132400,180666,101000,144187,167148
132692,180717,101000,144428,167388
132776,180857,101000,144500,167400
132800,180875,101200,144647,167428
132866,180882,101294,144651,167466
133120,180909,101333,144705,167500
133200,180929,101333,144851,167578
133272,181047,101411,144882,167695
133272,181076,101437,144900,167710
133772,181238,101600,144947,168250
133865,181285,101636,145000,168250
133953,181285,101636,145000,168600
134050,181444,101687,145033,168642
134187,181600,101767,145154,168918
134244,181621,101790,145272,169222
134475,181777,101842,145285,169253
134547,182076,101900,145303,169400
134551,182157,101950,145333,169500
134571,182222,102000,145382,169593
134720,182272,102095,145388,169750
134757,182400,102166,145415,169754
135000,182400,102226,145518,169909
135076,182411,102250,145710,170000
135217,182444,102272,145750,170193
135362,182466,102294,145766,170250
135444,182500,102387,145783,170273
135484,182500,102785,145877,170435
135686,182583,102848,145916,170531
135750,182714,102857,146000,170545
135770,182800,102960,146048,170611
135855,183000,103000,146082,170709
135920,183000,103045,146128,170750
135928,183000,103166,146173,170800
135933,183000,103307,146181,170800
136000,183040,103333,146200,170833
136200,183142,103666,146206,170898
136238,183187,103666,146272,170928
136333,183250,103666,146287,170933
136358,183276,103727,146555,170950
136555,183421,103782,146600,171083
136789,183500,103857,146600,171105
136884,183550,104000,146676,171217
136888,183608,104066,146700,171272
136914,183833,104100,146785,171500
136931,183857,104109,146825,171571
137000,183960,104310,146833,171642
137052,184101,104350,147086,171650
137070,184108,104360,147090,171666
137119,184176,104428,147113,171714
137132,184184,104444,147117,171769
137142,184333,104444,147148,171818
137239,184333,104500,147250,171958
137248,184421,104500,147269,172000
137650,184600,104500,147285,172125
137800,184764,104523,147294,172147
137973,184790,104631,147351,172167
138000,184833,104652,147542,172200
138088,185043,104666,147625,172250
138166,185400,104714,147642,172276
138454,185480,104833,147800,172428
138666,185500,104833,147833,172473
138750,185600,104857,147857,172571
139000,185750,104937,148111,172692
139050,186076,105033,148190,172910
139250,186300,105250,148193,173200
139400,186333,105250,148250,173220
139576,186538,105428,148272,173230
139600,186625,105457,148444,173250
140000,186700,105500,148519,173300
140250,186750,105500,148526,173400
140310,186769,105533,148541,173421
140320,186857,105555,148618,173729
140400,186955,105666,148666,173800
140408,186968,105733,148666,173857
140500,187000,105888,148692,173888
140600,187000,105904,148727,174000
140833,187166,105909,148733,174088
140836,187166,105923,148746,174131
